"lon","lat","latlon"
-65.25,44.75,"lat44.75lon-65.25"
-99.25,45.75,"lat45.75lon-99.25"
-97.25,45.75,"lat45.75lon-97.25"
-96.25,45.75,"lat45.75lon-96.25"
-94.25,45.75,"lat45.75lon-94.25"
-93.25,45.75,"lat45.75lon-93.25"
-91.25,45.75,"lat45.75lon-91.25"
-90.25,45.75,"lat45.75lon-90.25"
-88.25,45.75,"lat45.75lon-88.25"
-79.25,45.75,"lat45.75lon-79.25"
-78.25,45.75,"lat45.75lon-78.25"
-76.25,45.75,"lat45.75lon-76.25"
-75.25,45.75,"lat45.75lon-75.25"
-73.25,45.75,"lat45.75lon-73.25"
-72.25,45.75,"lat45.75lon-72.25"
-70.25,45.75,"lat45.75lon-70.25"
-69.25,45.75,"lat45.75lon-69.25"
-67.25,45.75,"lat45.75lon-67.25"
-66.25,45.75,"lat45.75lon-66.25"
-64.25,45.75,"lat45.75lon-64.25"
-63.25,45.75,"lat45.75lon-63.25"
-98.25,46.75,"lat46.75lon-98.25"
-97.25,46.75,"lat46.75lon-97.25"
-95.25,46.75,"lat46.75lon-95.25"
-92.25,46.75,"lat46.75lon-92.25"
-89.25,46.75,"lat46.75lon-89.25"
-83.25,46.75,"lat46.75lon-83.25"
-82.25,46.75,"lat46.75lon-82.25"
-80.25,46.75,"lat46.75lon-80.25"
-77.25,46.75,"lat46.75lon-77.25"
-74.25,46.75,"lat46.75lon-74.25"
-72.25,46.75,"lat46.75lon-72.25"
-71.25,46.75,"lat46.75lon-71.25"
-68.25,46.75,"lat46.75lon-68.25"
-67.25,46.75,"lat46.75lon-67.25"
-65.25,46.75,"lat46.75lon-65.25"
-99.25,47.75,"lat47.75lon-99.25"
-98.25,47.75,"lat47.75lon-98.25"
-96.25,47.75,"lat47.75lon-96.25"
-95.25,47.75,"lat47.75lon-95.25"
-94.25,47.75,"lat47.75lon-94.25"
-93.25,47.75,"lat47.75lon-93.25"
-91.25,47.75,"lat47.75lon-91.25"
-84.25,47.75,"lat47.75lon-84.25"
-83.25,47.75,"lat47.75lon-83.25"
-81.25,47.75,"lat47.75lon-81.25"
-80.25,47.75,"lat47.75lon-80.25"
-79.25,47.75,"lat47.75lon-79.25"
-78.25,47.75,"lat47.75lon-78.25"
-76.25,47.75,"lat47.75lon-76.25"
-75.25,47.75,"lat47.75lon-75.25"
-74.25,47.75,"lat47.75lon-74.25"
-73.25,47.75,"lat47.75lon-73.25"
-71.25,47.75,"lat47.75lon-71.25"
-70.25,47.75,"lat47.75lon-70.25"
